,production_budget,worldwide_gross,title_year,aspect_ratio,duration.1,cast_total_facebook_likes,budget,imdb_score
64,180000000.0,180047784.0,2011.0,1.85,126.0,36017.0,170000000.0,7.5
65,179000000.0,181982519.0,2015.0,2.35,127.0,47334.0,176000000.0,5.4
66,178000000.0,530842489.0,2016.0,2.35,144.0,49684.0,178000000.0,7.3
67,178000000.0,364406256.0,2014.0,2.35,113.0,12652.0,178000000.0,7.9
68,175000000.0,853923085.0,2015.0,1.85,95.0,2944.0,175000000.0,8.3
69,175000000.0,731542621.0,2009.0,1.85,96.0,2635.0,175000000.0,8.3
70,175000000.0,381687380.0,2009.0,2.35,94.0,2579.0,175000000.0,6.5
71,175000000.0,294387183.0,2016.0,2.35,123.0,11287.0,175000000.0,6.9
72,175000000.0,302469017.0,2009.0,2.35,118.0,26683.0,175000000.0,5.8
73,175000000.0,221229335.0,1999.0,1.85,106.0,15870.0,170000000.0,4.8
74,175000000.0,405760225.0,2008.0,2.35,112.0,9131.0,145000000.0,5.2
75,175000000.0,174131329.0,2007.0,2.35,96.0,108016.0,175000000.0,5.4
76,175000000.0,264246220.0,1995.0,1.85,176.0,1004.0,175000000.0,6.1
77,175000000.0,151659062.0,2013.0,2.35,128.0,20965.0,175000000.0,6.3
78,170000000.0,771172112.0,2014.0,2.35,121.0,32438.0,170000000.0,8.1
79,170000000.0,623561331.0,2010.0,2.35,124.0,48638.0,200000000.0,7.0
80,170000000.0,714401889.0,2014.0,2.35,136.0,36188.0,170000000.0,7.8
81,170000000.0,703545589.0,2014.0,1.85,130.0,14363.0,170000000.0,7.6
82,170000000.0,319090241.0,2004.0,2.35,100.0,16264.0,165000000.0,6.6
83,170000000.0,401016924.0,2012.0,2.35,132.0,72881.0,170000000.0,6.1
84,170000000.0,433058296.0,2003.0,2.35,109.0,1769.0,200000000.0,6.4
85,170000000.0,277279693.0,2016.0,1.85,113.0,80806.0,170000000.0,6.4
86,165000000.0,756244673.0,2010.0,2.35,93.0,4628.0,165000000.0,6.4
87,165000000.0,652127828.0,2014.0,2.39,102.0,2963.0,165000000.0,7.9
88,165000000.0,494870991.0,2010.0,2.35,98.0,20453.0,165000000.0,8.2
89,165000000.0,496511521.0,2012.0,2.35,101.0,4451.0,165000000.0,7.8
90,165000000.0,665417894.0,2014.0,2.35,169.0,31488.0,165000000.0,8.6
91,165000000.0,379262220.0,2016.0,2.35,120.0,3233.0,165000000.0,5.5
92,160000000.0,807330936.0,2007.0,1.85,93.0,4705.0,160000000.0,6.1
93,160000000.0,650523427.0,2015.0,2.35,137.0,81385.0,160000000.0,6.6
94,160000000.0,355408305.0,2011.0,2.35,132.0,50983.0,160000000.0,7.8
95,160000000.0,329809326.0,2008.0,2.35,166.0,13333.0,150000000.0,7.8
96,160000000.0,217986320.0,2010.0,2.35,109.0,13388.0,150000000.0,6.1
97,160000000.0,181674817.0,2006.0,2.35,98.0,92456.0,160000000.0,5.6
98,160000000.0,433125655.0,2016.0,2.35,123.0,5505.0,160000000.0,7.3
99,155000000.0,418186950.0,2010.0,1.78,113.0,764.0,155000000.0,6.3
100,155000000.0,440160956.0,2015.0,2.35,126.0,38873.0,155000000.0,6.6
101,155000000.0,167297191.0,2004.0,2.35,206.0,24598.0,155000000.0,5.5
102,151500000.0,449239855.0,2001.0,2.35,184.0,5401.0,140000000.0,6.1
103,150000000.0,1274234980.0,2013.0,2.24,102.0,2582.0,150000000.0,7.6
104,150000000.0,942943935.0,2007.0,2.35,138.0,33433.0,150000000.0,7.5
105,150000000.0,896911078.0,2005.0,2.35,157.0,53413.0,150000000.0,7.6
106,150000000.0,738576929.0,2003.0,2.35,138.0,534.0,150000000.0,7.2
107,150000000.0,585532684.0,2007.0,2.35,104.0,13076.0,150000000.0,7.2
108,150000000.0,624234272.0,2008.0,2.35,102.0,21584.0,150000000.0,6.4
109,150000000.0,475825484.0,2005.0,1.85,115.0,57844.0,150000000.0,6.7
110,150000000.0,626549695.0,2007.0,2.35,111.0,4764.0,150000000.0,8.0
111,150000000.0,644600394.0,2013.0,2.35,112.0,59803.0,170000000.0,7.1
112,150000000.0,359142722.0,2005.0,2.35,128.0,59558.0,150000000.0,8.3
113,150000000.0,700868363.0,2015.0,2.35,131.0,21840.0,150000000.0,7.4
114,150000000.0,449326618.0,2011.0,2.35,115.0,60059.0,150000000.0,7.0
115,150000000.0,599516844.0,2008.0,1.85,89.0,3285.0,150000000.0,6.7
116,150000000.0,374825760.0,2009.0,2.35,119.0,40054.0,150000000.0,6.7
117,150000000.0,402231063.0,2009.0,2.35,105.0,54039.0,150000000.0,5.9
118,150000000.0,664837547.0,2011.0,2.35,90.0,21015.0,150000000.0,7.3
119,150000000.0,373136354.0,2015.0,2.35,120.0,40025.0,150000000.0,8.1
120,150000000.0,427289109.0,2003.0,2.35,129.0,1062.0,150000000.0,6.7
121,150000000.0,397501348.0,2006.0,2.35,124.0,34817.0,150000000.0,6.9
122,150000000.0,490875846.0,2009.0,2.35,146.0,16948.0,150000000.0,6.7
123,150000000.0,319713881.0,2010.0,2.35,103.0,2857.0,150000000.0,4.2
124,150000000.0,287594577.0,2007.0,1.85,91.0,6576.0,150000000.0,6.2
125,150000000.0,292817841.0,2009.0,2.35,88.0,2217.0,150000000.0,5.1
126,150000000.0,305270083.0,2012.0,1.85,99.0,16184.0,150000000.0,5.8
127,150000000.0,194995215.0,2007.0,2.35,115.0,31523.0,150000000.0,6.3
128,150000000.0,238202668.0,2012.0,1.85,113.0,80849.0,100000000.0,6.2
129,150000000.0,205440387.0,2013.0,2.35,131.0,18204.0,150000000.0,6.4
130,150000000.0,142634358.0,2010.0,1.85,119.0,13071.0,150000000.0,5.8
131,150000000.0,39549758.0,2011.0,2.35,88.0,2652.0,150000000.0,5.4
132,149000000.0,179357126.0,2006.0,1.85,85.0,35161.0,149000000.0,6.7
133,145000000.0,746921271.0,2012.0,1.85,93.0,2444.0,145000000.0,6.9
134,145000000.0,694713230.0,2011.0,2.35,133.0,21768.0,145000000.0,7.4
135,145000000.0,616102924.0,2014.0,2.35,102.0,23378.0,145000000.0,7.9
136,145000000.0,448191819.0,2008.0,1.85,94.0,836.0,40455386.33009198,4.8
137,145000000.0,269806430.0,2014.0,1.85,92.0,5810.0,145000000.0,6.9
138,145000000.0,306900902.0,2012.0,1.85,97.0,20645.0,145000000.0,7.3
139,145000000.0,121671925.0,2005.0,2.35,124.0,13073.0,130000000.0,6.0
140,142000000.0,431942139.0,2002.0,2.35,133.0,2538.0,142000000.0,6.1
141,140000000.0,385680446.0,2009.0,2.35,127.0,39284.0,150000000.0,8.0
142,140000000.0,554600000.0,1998.0,2.35,153.0,26029.0,140000000.0,6.6
143,140000000.0,370569776.0,2011.0,2.35,124.0,19761.0,140000000.0,6.9
144,140000000.0,518628619.0,2016.0,2.35,95.0,36095.0,145000000.0,7.2
145,140000000.0,375740705.0,2013.0,2.35,122.0,31958.0,130000000.0,5.8
146,140000000.0,456810575.0,2003.0,2.35,154.0,11945.0,140000000.0,7.7
147,140000000.0,203018919.0,2005.0,2.35,90.0,1997.0,100000000.0,6.1
148,140000000.0,268314513.0,2014.0,2.35,150.0,26490.0,140000000.0,6.1
149,140000000.0,268314513.0,2014.0,2.35,150.0,26489.0,140000000.0,6.1
150,140000000.0,118515678.0,2016.0,2.35,117.0,1950.0,140000000.0,6.8
151,140000000.0,133553464.0,2016.0,2.35,126.0,19769.0,140000000.0,5.5
152,139000000.0,821706375.0,2002.0,1.85,121.0,40484.0,139000000.0,7.3
153,138000000.0,184068357.0,2009.0,2.35,215.0,2530.0,130000000.0,7.7
154,138000000.0,76416746.0,2005.0,2.35,121.0,2705.0,135000000.0,5.0
155,137500000.0,263417913.0,2008.0,2.35,135.0,5811.0,150000000.0,6.8
156,137000000.0,245229234.0,2003.0,1.85,138.0,1814.0,137000000.0,5.7
157,137000000.0,85131830.0,2001.0,1.85,106.0,15015.0,137000000.0,6.4
158,135000000.0,573068425.0,2013.0,2.35,98.0,43286.0,135000000.0,7.3
159,135000000.0,532037894.0,2015.0,2.35,156.0,57108.0,135000000.0,8.1
160,135000000.0,361730660.0,1999.0,2.35,128.0,2037.0,135000000.0,6.4
161,135000000.0,245504574.0,2011.0,2.35,107.0,43291.0,135000000.0,7.2
162,135000000.0,212912137.0,2003.0,2.35,138.0,1205.0,150000000.0,7.4
163,135000000.0,286896578.0,2013.0,2.35,96.0,17416.0,135000000.0,6.5
164,135000000.0,237177349.0,2016.0,2.35,112.0,8306.0,135000000.0,6.3
165,135000000.0,157956466.0,2011.0,2.35,100.0,62644.0,135000000.0,5.9
166,135000000.0,163818556.0,2002.1307333823888,1.33,60.0,1687.0,1500000.0,7.5
167,132000000.0,606836535.0,2005.0,1.85,116.0,12758.0,132000000.0,6.5
168,132000000.0,367650911.0,2014.0,1.85,92.0,19963.0,132000000.0,6.7
169,130000000.0,864868047.0,2013.0,2.35,146.0,49355.0,130000000.0,7.6
170,130000000.0,796688549.0,2004.0,2.35,142.0,33284.0,130000000.0,7.8
171,130000000.0,442161562.0,2007.0,2.35,115.0,17369.0,110000000.0,8.1
172,130000000.0,631910531.0,2008.0,2.35,92.0,12754.0,130000000.0,7.6
173,130000000.0,518602163.0,2015.0,1.85,117.0,5730.0,130000000.0,7.4
174,130000000.0,554987477.0,2011.0,2.35,90.0,5046.0,130000000.0,6.7
175,130000000.0,321887208.0,2010.0,2.35,95.0,46120.0,130000000.0,7.3
176,130000000.0,273271982.0,2003.0,2.35,147.0,12954.0,130000000.0,6.6
177,130000000.0,493738435.0,2014.0,2.35,101.0,1031.0,103000000.0,6.4
178,130000000.0,290650494.0,2010.0,2.35,101.0,12406.0,110000000.0,6.4
179,130000000.0,373993951.0,2011.0,2.35,107.0,4631.0,135000000.0,7.4
180,130000000.0,251499665.0,2013.0,2.35,100.0,14168.0,130000000.0,4.9
181,130000000.0,215080810.0,2008.0,2.35,165.0,921.0,130000000.0,6.6
182,130000000.0,79072464.0,2013.0,2.35,96.0,31549.0,130000000.0,5.6
183,127500000.0,356148063.0,2000.0,1.85,82.0,2945.0,127500000.0,6.5
184,127000000.0,356546621.0,2014.0,1.85,98.0,53587.0,127000000.0,6.2
185,125000000.0,1341511219.0,2011.0,2.1269761542364285,108.5771861260381,11036.0,40455386.33009198,7.5
186,125000000.0,766652288.0,2014.0,2.35,123.0,81385.0,125000000.0,6.7
187,125000000.0,974755371.0,2001.0,2.35,159.0,13191.0,125000000.0,7.5
188,125000000.0,634954103.0,2003.0,2.35,143.0,48184.0,140000000.0,8.1
189,125000000.0,960283305.0,2010.0,2.1269761542364285,108.5771861260381,14719.0,40455386.33009198,6.4
190,125000000.0,767820459.0,2006.0,2.35,174.0,16008.0,125000000.0,6.6
191,125000000.0,629969804.0,2011.0,2.35,132.0,55345.0,125000000.0,7.3
192,125000000.0,535663443.0,2011.0,2.35,129.0,22403.0,125000000.0,7.5
193,125000000.0,556319450.0,2004.0,2.35,124.0,20553.0,125000000.0,6.4
